Customer ID,HistoryPurchaseDays,HistoryInvoices,HistoryMonetary,FirstPurchaseInWindow,LastPurchaseBeforeSnapshot,SnapshotDate,ObservationStart,RecencyAtSnapshot,ObservedTenureInWindow,CustomerStageAtSnapshot,NextPurchaseDate,DaysToNextPurchase,HorizonDays,LabelEndDate,ReturnedWithinHorizon,Churn
12346,1,1,27.05,2010-03-02,2010-03-02,2010-06-01,2009-12-03,91,0,One purchase day,2010-06-28,27.0,90,2010-08-30,1,0
12349,1,1,1068.52,2010-04-29,2010-04-29,2010-06-01,2009-12-03,33,0,One purchase day,2010-10-28,149.0,90,2010-08-30,0,1
12355,1,1,488.21000000000004,2010-05-21,2010-05-21,2010-06-01,2009-12-03,11,0,One purchase day,2011-05-09,342.0,90,2010-08-30,0,1
12358,1,1,1429.83,2009-12-08,2009-12-08,2010-06-01,2009-12-03,175,0,One purchase day,2010-06-07,6.0,90,2010-08-30,1,0
12359,4,4,1428.23,2009-12-05,2010-03-23,2010-06-01,2009-12-03,70,108,Repeat purchase days,2010-06-22,21.0,90,2010-08-30,1,0
12360,2,2,620.04,2010-02-22,2010-05-25,2010-06-01,2009-12-03,7,92,Repeat purchase days,2010-11-12,164.0,90,2010-08-30,0,1
12361,2,2,177.35,2010-01-26,2010-05-09,2010-06-01,2009-12-03,23,103,Repeat purchase days,2010-09-03,94.0,90,2010-08-30,0,1
12366,1,1,500.24,2010-03-16,2010-03-16,2010-06-01,2009-12-03,77,0,One purchase day,,,90,2010-08-30,0,1
12368,1,1,917.6999999999999,2010-03-21,2010-03-21,2010-06-01,2009-12-03,72,0,One purchase day,,,90,2010-08-30,0,1
12369,1,1,308.32,2010-03-08,2010-03-08,2010-06-01,2009-12-03,85,0,One purchase day,2010-09-16,107.0,90,2010-08-30,0,1
12370,2,3,534.62,2010-02-09,2010-03-25,2010-06-01,2009-12-03,68,44,Repeat purchase days,2010-12-14,196.0,90,2010-08-30,0,1
12371,1,2,487.68,2010-03-04,2010-03-04,2010-06-01,2009-12-03,89,0,One purchase day,2010-10-26,147.0,90,2010-08-30,0,1
12373,2,2,603.0500000000001,2010-02-04,2010-03-25,2010-06-01,2009-12-03,68,49,Repeat purchase days,2011-02-01,245.0,90,2010-08-30,0,1
12374,1,1,1388.54,2010-04-30,2010-04-30,2010-06-01,2009-12-03,32,0,One purchase day,2010-10-14,135.0,90,2010-08-30,0,1
12377,1,1,1210.96,2010-04-29,2010-04-29,2010-06-01,2009-12-03,33,0,One purchase day,2010-11-23,175.0,90,2010-08-30,0,1
12378,1,1,1407.7,2010-05-26,2010-05-26,2010-06-01,2009-12-03,6,0,One purchase day,2011-08-02,427.0,90,2010-08-30,0,1
12380,1,1,1508.65,2010-02-15,2010-02-15,2010-06-01,2009-12-03,106,0,One purchase day,2010-06-29,28.0,90,2010-08-30,1,0
12388,1,1,461.62,2010-05-06,2010-05-06,2010-06-01,2009-12-03,26,0,One purchase day,2010-09-20,111.0,90,2010-08-30,0,1
12389,2,2,563.03,2010-02-22,2010-05-21,2010-06-01,2009-12-03,11,88,Repeat purchase days,2010-11-02,154.0,90,2010-08-30,0,1
12391,3,4,1876.5900000000001,2010-02-15,2010-04-21,2010-06-01,2009-12-03,41,65,Repeat purchase days,2010-09-01,92.0,90,2010-08-30,0,1
12392,1,1,234.75000000000003,2010-04-27,2010-04-27,2010-06-01,2009-12-03,35,0,One purchase day,,,90,2010-08-30,0,1
12395,1,1,1020.59,2010-04-16,2010-04-16,2010-06-01,2009-12-03,46,0,One purchase day,2010-08-02,62.0,90,2010-08-30,1,0
12396,1,1,931.43,2010-02-03,2010-02-03,2010-06-01,2009-12-03,118,0,One purchase day,,,90,2010-08-30,0,1
12399,1,1,190.98,2010-03-05,2010-03-05,2010-06-01,2009-12-03,88,0,One purchase day,2010-07-08,37.0,90,2010-08-30,1,0
12402,2,2,462.59999999999997,2010-02-07,2010-04-18,2010-06-01,2009-12-03,44,70,Repeat purchase days,2010-07-06,35.0,90,2010-08-30,1,0
12406,2,2,1629.2,2010-01-11,2010-04-22,2010-06-01,2009-12-03,40,101,Repeat purchase days,2010-11-05,157.0,90,2010-08-30,0,1
12409,1,1,6489.4,2010-05-23,2010-05-23,2010-06-01,2009-12-03,9,0,One purchase day,2010-06-08,7.0,90,2010-08-30,1,0
12416,1,1,202.56,2010-02-21,2010-02-21,2010-06-01,2009-12-03,100,0,One purchase day,,,90,2010-08-30,0,1
12417,5,5,1297.5,2009-12-06,2010-04-01,2010-06-01,2009-12-03,61,116,Repeat purchase days,2010-06-17,16.0,90,2010-08-30,1,0
12418,2,2,874.36,2010-03-19,2010-05-12,2010-06-01,2009-12-03,20,54,Repeat purchase days,2010-10-22,143.0,90,2010-08-30,0,1
12422,4,4,1537.8899999999999,2009-12-18,2010-05-20,2010-06-01,2009-12-03,12,153,Repeat purchase days,2010-07-02,31.0,90,2010-08-30,1,0
12426,1,1,656.6800000000001,2010-02-15,2010-02-15,2010-06-01,2009-12-03,106,0,One purchase day,2011-05-29,362.0,90,2010-08-30,0,1
12431,4,4,1819.26,2010-01-15,2010-05-24,2010-06-01,2009-12-03,8,129,Repeat purchase days,2010-06-23,22.0,90,2010-08-30,1,0
12435,1,1,728.88,2010-03-12,2010-03-12,2010-06-01,2009-12-03,81,0,One purchase day,2010-08-19,79.0,90,2010-08-30,1,0
12437,6,6,3230.44,2010-01-19,2010-04-16,2010-06-01,2009-12-03,46,87,Repeat purchase days,2010-06-02,1.0,90,2010-08-30,1,0
12439,2,2,1104.48,2009-12-14,2010-01-26,2010-06-01,2009-12-03,126,43,Repeat purchase days,,,90,2010-08-30,0,1
12440,1,1,442.46,2009-12-22,2009-12-22,2010-06-01,2009-12-03,161,0,One purchase day,2010-09-03,94.0,90,2010-08-30,0,1
12443,1,1,365.31,2009-12-07,2009-12-07,2010-06-01,2009-12-03,176,0,One purchase day,,,90,2010-08-30,0,1
12455,3,3,2914.95,2009-12-18,2010-05-11,2010-06-01,2009-12-03,21,144,Repeat purchase days,2010-09-20,111.0,90,2010-08-30,0,1
12459,1,1,398.36,2010-04-13,2010-04-13,2010-06-01,2009-12-03,49,0,One purchase day,,,90,2010-08-30,0,1
12468,2,2,1998.84,2010-01-26,2010-04-09,2010-06-01,2009-12-03,53,73,Repeat purchase days,2010-07-01,30.0,90,2010-08-30,1,0
12470,1,1,211.95,2010-01-19,2010-01-19,2010-06-01,2009-12-03,133,0,One purchase day,,,90,2010-08-30,0,1
12471,14,21,7270.639999999999,2009-12-07,2010-05-17,2010-06-01,2009-12-03,15,161,Repeat purchase days,2010-06-07,6.0,90,2010-08-30,1,0
12472,7,7,3332.64,2009-12-14,2010-04-26,2010-06-01,2009-12-03,36,133,Repeat purchase days,2010-06-15,14.0,90,2010-08-30,1,0
12474,3,3,902.0400000000001,2010-02-11,2010-04-25,2010-06-01,2009-12-03,37,73,Repeat purchase days,2010-06-13,12.0,90,2010-08-30,1,0
12477,1,1,1938.23,2010-03-26,2010-03-26,2010-06-01,2009-12-03,67,0,One purchase day,2010-07-02,31.0,90,2010-08-30,1,0
