Customer ID,SnapshotDate,Churn,Recency,TenureDays,LifetimePurchaseDays,LifetimeOrders,LifetimeMonetary,LifetimeUnits,LifetimeUniqueProducts,AverageOrderValue,PurchaseDays30D,Orders30D,Monetary30D,Units30D,PurchaseDays60D,Orders60D,Monetary60D,Units60D,PurchaseDays90D,Orders90D,Monetary90D,Units90D,PurchaseDays180D,Orders180D,Monetary180D,Units180D,OrdersPrevious90D,MonetaryPrevious90D,PurchaseDaysPrevious90D,OrderChange90D,MonetaryChange90D,OrderTrendRatio90D,MonetaryTrendRatio90D,MedianPurchaseGap,LatestPurchaseGap,PurchaseGapStd,HasRepeatPurchaseHistory,SnapshotMonth,SnapshotQuarter,IsHolidaySeason,CancellationRows180D,CancelledUnits180D,CancellationValue180D,PositiveUnits180D,CancellationUnitRate180D
12346,2010-06-01,0,91,91,1,1,27.05,5,5,27.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,27.05,5,1.0,27.05,1.0,-1.0,-27.05,0.5,0.035650623885918005,,,,0,6,2,0,0,0,0.0,5,0.0
12349,2010-06-01,1,33,33,1,1,1068.52,473,46,1068.52,0.0,0.0,0.0,0.0,1.0,1.0,1068.52,473.0,1.0,1.0,1068.52,473.0,1,1,1068.52,473,0.0,0.0,0.0,1.0,1068.52,2.0,1069.52,,,,0,6,2,0,5,5,24.15,473,0.010570824524312896
12355,2010-06-01,1,11,11,1,1,488.21000000000004,303,22,488.21000000000004,1.0,1.0,488.21000000000004,303.0,1.0,1.0,488.21000000000004,303.0,1.0,1.0,488.21000000000004,303.0,1,1,488.21000000000004,303,0.0,0.0,0.0,1.0,488.21000000000004,2.0,489.21000000000004,,,,0,6,2,0,0,0,0.0,303,0.0
12358,2010-06-01,0,175,175,1,1,1429.83,309,17,1429.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1429.83,309,1.0,1429.83,1.0,-1.0,-1429.83,0.5,0.0006988950469308024,,,,0,6,2,0,0,0,0.0,309,0.0
12359,2010-06-01,0,70,178,4,4,1428.23,561,63,357.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,667.54,164.0,4,4,1428.23,561,2.0,760.69,2.0,0.0,-93.15000000000009,1.0,0.8777061534219958,15.0,15.0,32.567877834864625,1,6,2,0,4,216,94.0,777,0.277992277992278
12360,2010-06-01,1,7,99,2,2,620.04,752,43,310.02,1.0,1.0,502.03999999999996,652.0,1.0,1.0,502.03999999999996,652.0,1.0,1.0,502.03999999999996,652.0,2,2,620.04,752,1.0,118.00000000000001,1.0,0.0,384.03999999999996,1.0,4.2272268907563015,92.0,92.0,0.0,1,6,2,0,0,0,0.0,752,0.0
12361,2010-06-01,1,23,126,2,2,177.35,81,10,88.675,1.0,1.0,83.15,37.0,1.0,1.0,83.15,37.0,1.0,1.0,83.15,37.0,2,2,177.35,81,1.0,94.19999999999999,1.0,0.0,-11.049999999999983,1.0,0.8839285714285716,103.0,103.0,0.0,1,6,2,0,0,0,0.0,81,0.0
12366,2010-06-01,1,77,77,1,1,500.24,296,3,500.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,500.24,296.0,1,1,500.24,296,0.0,0.0,0.0,1.0,500.24,2.0,501.24,,,,0,6,2,0,0,0,0.0,296,0.0
12368,2010-06-01,1,72,72,1,1,917.6999999999999,330,18,917.6999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,917.6999999999999,330.0,1,1,917.6999999999999,330,0.0,0.0,0.0,1.0,917.6999999999999,2.0,918.6999999999999,,,,0,6,2,0,0,0,0.0,330,0.0
12369,2010-06-01,1,85,85,1,1,308.32,208,8,308.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,308.32,208.0,1,1,308.32,208,0.0,0.0,0.0,1.0,308.32,2.0,309.32,,,,0,6,2,0,0,0,0.0,208,0.0
