Customer ID,Segment,Recency,Frequency,Monetary,SnapshotDate
12357,Exceptional high-value,33,2,17437.66,2011-12-10 12:50:00
12415,Exceptional high-value,24,24,143104.49,2011-12-10 12:50:00
12433,Exceptional high-value,1,10,20581.26,2011-12-10 12:50:00
12482,Exceptional high-value,576,27,21941.72,2011-12-10 12:50:00
12536,Exceptional high-value,59,1,4151.26,2011-12-10 12:50:00
12590,Exceptional high-value,211,1,9338.38,2011-12-10 12:50:00
12688,Exceptional high-value,114,1,4873.8099999999995,2011-12-10 12:50:00
12713,Exceptional high-value,1,1,794.55,2011-12-10 12:50:00
12748,Exceptional high-value,1,318,49482.13,2011-12-10 12:50:00
12752,Exceptional high-value,81,1,4366.78,2011-12-10 12:50:00
12835,Exceptional high-value,428,41,6027.57,2011-12-10 12:50:00
12921,Exceptional high-value,9,73,34831.89,2011-12-10 12:50:00
12931,Exceptional high-value,22,52,71110.08,2011-12-10 12:50:00
12971,Exceptional high-value,4,115,15491.04,2011-12-10 12:50:00
13081,Exceptional high-value,12,28,58339.73,2011-12-10 12:50:00
13089,Exceptional high-value,3,199,113296.69,2011-12-10 12:50:00
13093,Exceptional high-value,276,55,54136.06,2011-12-10 12:50:00
13256,Exceptional high-value,14,1,0.0,2011-12-10 12:50:00
13408,Exceptional high-value,2,106,51266.552,2011-12-10 12:50:00
13564,Exceptional high-value,354,36,16408.75,2011-12-10 12:50:00
13666,Exceptional high-value,60,5,127.05,2011-12-10 12:50:00
13687,Exceptional high-value,438,1,11880.84,2011-12-10 12:50:00
13694,Exceptional high-value,4,142,191441.72,2011-12-10 12:50:00
13788,Exceptional high-value,505,1,3.75,2011-12-10 12:50:00
13798,Exceptional high-value,1,109,73645.86,2011-12-10 12:50:00
13902,Exceptional high-value,632,5,30392.46,2011-12-10 12:50:00
14063,Exceptional high-value,687,7,9471.5,2011-12-10 12:50:00
14088,Exceptional high-value,10,15,63731.63,2011-12-10 12:50:00
14091,Exceptional high-value,654,2,9530.08,2011-12-10 12:50:00
14095,Exceptional high-value,723,1,2.95,2011-12-10 12:50:00
14096,Exceptional high-value,4,17,53258.43,2011-12-10 12:50:00
14156,Exceptional high-value,10,143,298229.5,2011-12-10 12:50:00
14298,Exceptional high-value,8,82,90489.31,2011-12-10 12:50:00
14527,Exceptional high-value,3,121,27324.1,2011-12-10 12:50:00
14606,Exceptional high-value,1,184,29953.04,2011-12-10 12:50:00
14610,Exceptional high-value,396,2,24.35,2011-12-10 12:50:00
14646,Exceptional high-value,2,145,522870.65,2011-12-10 12:50:00
14680,Exceptional high-value,25,57,54723.95,2011-12-10 12:50:00
14792,Exceptional high-value,64,1,6.2,2011-12-10 12:50:00
14911,Exceptional high-value,1,373,262502.76,2011-12-10 12:50:00
15039,Exceptional high-value,10,93,39742.99,2011-12-10 12:50:00
15061,Exceptional high-value,4,126,136382.59,2011-12-10 12:50:00
15098,Exceptional high-value,182,2,39619.5,2011-12-10 12:50:00
15195,Exceptional high-value,3,1,3861.0,2011-12-10 12:50:00
15311,Exceptional high-value,1,207,113514.56,2011-12-10 12:50:00
15359,Exceptional high-value,663,7,165.45,2011-12-10 12:50:00
15516,Exceptional high-value,45,3,62.43,2011-12-10 12:50:00
15581,Exceptional high-value,156,34,4669.0,2011-12-10 12:50:00
15657,Exceptional high-value,23,1,30.0,2011-12-10 12:50:00
15749,Exceptional high-value,235,2,24850.9,2011-12-10 12:50:00
15768,Exceptional high-value,116,34,15601.09,2011-12-10 12:50:00
15769,Exceptional high-value,7,46,84384.82,2011-12-10 12:50:00
15808,Exceptional high-value,306,21,18287.03,2011-12-10 12:50:00
16000,Exceptional high-value,3,3,12393.7,2011-12-10 12:50:00
16029,Exceptional high-value,39,105,99027.03,2011-12-10 12:50:00
16422,Exceptional high-value,17,106,61822.39,2011-12-10 12:50:00
16446,Exceptional high-value,206,1,2.9,2011-12-10 12:50:00
16454,Exceptional high-value,64,2,7.45,2011-12-10 12:50:00
16553,Exceptional high-value,163,33,16556.87,2011-12-10 12:50:00
16684,Exceptional high-value,4,54,141542.24,2011-12-10 12:50:00
16738,Exceptional high-value,298,1,3.75,2011-12-10 12:50:00
16754,Exceptional high-value,372,28,56587.85,2011-12-10 12:50:00
16800,Exceptional high-value,11,1,1201.49,2011-12-10 12:50:00
16953,Exceptional high-value,30,1,20.8,2011-12-10 12:50:00
17377,Exceptional high-value,24,78,18041.87,2011-12-10 12:50:00
17404,Exceptional high-value,4,21,45832.62,2011-12-10 12:50:00
17448,Exceptional high-value,529,41,14411.44,2011-12-10 12:50:00
17450,Exceptional high-value,8,50,235192.73,2011-12-10 12:50:00
17511,Exceptional high-value,3,60,172208.81,2011-12-10 12:50:00
17763,Exceptional high-value,263,4,51.15,2011-12-10 12:50:00
17816,Exceptional high-value,37,6,112.32,2011-12-10 12:50:00
17841,Exceptional high-value,2,211,69595.47,2011-12-10 12:50:00
17850,Exceptional high-value,372,155,56043.33,2011-12-10 12:50:00
17888,Exceptional high-value,38,21,1325.31,2011-12-10 12:50:00
17949,Exceptional high-value,1,106,100323.36,2011-12-10 12:50:00
17961,Exceptional high-value,21,98,2979.09,2011-12-10 12:50:00
17986,Exceptional high-value,56,1,20.8,2011-12-10 12:50:00
17988,Exceptional high-value,12,13,475.74,2011-12-10 12:50:00
18037,Exceptional high-value,154,15,167.42,2011-12-10 12:50:00
18052,Exceptional high-value,565,1,10877.18,2011-12-10 12:50:00
18102,Exceptional high-value,1,145,606243.25,2011-12-10 12:50:00
