Customer ID,SnapshotDate,Segment,CustomerValue,SegmentFrequency,ChurnProbability,AboveModelThreshold,ProbabilityThreshold,CampaignPriorityBand,CampaignRecommendedAction,CustomerValueCap,ValueAtRiskScore,ProbabilityRank,ValueAtRiskRank,ValueProtectionPriorityBand,ValueProtectionRecommendedAction,ModelVersion
12347,2011-12-10,Champions,5633.32,8,0.2875284983310346,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1619.7400402181838,2739,424,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12348,2011-12-10,At-risk established,1658.4,5,0.689088881997862,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1142.7850019052544,1295,853,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12349,2011-12-10,Recent developing,3678.69,3,0.7817146670782306,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,2875.685928634016,938,107,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12352,2011-12-10,Champions,1609.21,9,0.4278290265538897,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,688.4667478207849,2321,1648,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12356,2011-12-10,Champions,5613.68,6,0.5811768431650215,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,3262.5408209386183,1780,69,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12357,2011-12-10,Exceptional high-value,17437.66,2,0.4467177433850505,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,7789.71212511576,2262,6,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12358,2011-12-10,Champions,3447.07,5,0.4865074581927207,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1677.0252639123817,2141,391,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12359,2011-12-10,Champions,8672.39,10,0.3394219982346714,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2943.5999432703816,2594,99,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12360,2011-12-10,At-risk established,3612.89,6,0.4319245077036364,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1560.4957346373908,2304,464,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12362,2011-12-10,Champions,4665.58,10,0.0630981233530032,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,294.3893423533047,3240,2747,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12363,2011-12-10,Lapsed low-value,552.0,2,0.7982521969924772,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,440.6352127398474,785,2309,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12364,2011-12-10,Recent developing,1208.1,4,0.3719771505009292,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,449.38559552017256,2505,2287,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12367,2011-12-10,Recent developing,150.9,1,0.7937625255407874,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,119.77876510410482,830,3249,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12370,2011-12-10,Champions,3960.31,7,0.5739783493949083,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2273.1321968921493,1810,199,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12371,2011-12-10,At-risk established,3347.38,4,0.7699235547899212,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,2577.2267088326867,999,139,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12372,2011-12-10,At-risk established,1196.04,3,0.7418914430891769,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,887.3318415923791,1105,1231,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12374,2011-12-10,Recent developing,2669.22,3,0.8238540745332533,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,2199.04777282565,536,213,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12375,2011-12-10,Recent developing,375.42,2,0.6386232233065461,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,239.75193049374354,1505,2927,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12378,2011-12-10,At-risk established,5416.32,2,0.8408585225496578,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,4554.358832856162,395,31,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12379,2011-12-10,At-risk established,1468.27,4,0.650821680699216,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,955.5819491202378,1441,1108,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12380,2011-12-10,Champions,7171.0,8,0.3483957936294644,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2498.346236116889,2572,152,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12381,2011-12-10,Recent developing,1433.46,3,0.4752423914744935,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,681.2409584830275,2176,1665,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
